Store,Address,City,State,Zip,Type,Total Sales,%Sales Dry Grocery,%Sales FrozenFood,%Sales Dairy,%Sales Meat,%Sales Produce,%Sales Floral,%Sales Deli,%Sales Bakery,%Sales General_Merchandise
S0029,2058 W Avenue J,Lancaster,CA,93534,Existing,33606658.38,0.441263950206525,7.29609317973493e-002,9.94249497292626e-002,0.131544898335709,9.91925142424708e-002,6.2195814780678e-003,4.28653903554216e-002,1.78216882865222e-002,8.87060955686722e-002
S0030,3125 W Florida Ave,Hemet,CA,92545,Existing,25497338,0.440520504924867,7.07962450825259e-002,0.109386389669384,0.111383818185255,0.116304307924223,8.30499168187674e-003,4.80720944280537e-002,3.05700383310603e-002,6.46616097727536e-002
S0031,31564 Grape St,Lake Elsinore,CA,92532,Existing,29269437.14,0.455930952692041,7.77075455575364e-002,0.103004622725724,0.112896789036101,8.8000970011137e-002,6.28855550312096e-003,3.87200021845039e-002,2.03314907339554e-002,9.71190715558803e-002
S0032,16550 Soledad Canyon Rd,Santa Clarita,CA,91351,Existing,24165557.27,0.448562656713772,7.3226885696396e-002,9.42288805740418e-002,0.115746723270164,9.64920884690196e-002,6.50928543639581e-003,4.00096161324734e-002,2.34743669952205e-002,0.101749496712517
S0033,11322 Los Alamitos Blvd,Los Alamitos,CA,90720,Existing,32960487.75,0.438858984724824,7.98512667640969e-002,0.101837250572847,0.11881945163266,0.113193726327669,9.00292836230859e-003,4.08085268701766e-002,2.80110008384205e-002,6.96168639069972e-002
S0034,1125 Maricopa Hwy,Ojai,CA,93023,Existing,31050056.12,0.43693782315779,8.25283661355263e-002,0.103669439680227,0.109581219977518,0.114689477411482,1.16731273721125e-002,4.42126778996624e-002,2.90537027216168e-002,6.76541656440652e-002
S0035,81 W Foothill Blvd,Upland,CA,91786,Existing,18365221.17,0.464232502896669,7.88602193566722e-002,0.101083279793684,0.122160663856574,8.7966405906344e-002,7.24108295614933e-003,4.04211614512236e-002,2.92662018619185e-002,6.87684819207653e-002
S0036,33644 Yucaipa Blvd,Yucaipa,CA,92399,Existing,17827104.45,0.494458380760763,8.03417994221715e-002,9.46800780089668e-002,0.1007038330333,9.80869212330217e-002,5.81731151521918e-003,3.05783915458015e-002,1.58822730182635e-002,7.94510114624924e-002
S0037,4627 Carmel Mountain Rd,San Diego,CA,92130,Existing,31286950.57,0.431724572510807,7.7042189350063e-002,9.78222499873371e-002,0.108129774821964,0.113851503106076,8.19292469640003e-003,3.9828865303187e-002,2.03087663841954e-002,0.103099153839971
S0038,5805 E Los Angeles Ave,Simi Valley,CA,93063,Existing,20632448.59,0.442159338490808,8.30823211565313e-002,0.107957659522757,0.118933724191579,0.105235839581947,7.51692894439924e-003,3.79382745865357e-002,2.87773711108518e-002,6.83985424145919e-002
S0039,1221 S Gaffey St,San Pedro,CA,90731,Existing,21361323.01,0.452662713141568,7.40224277896914e-002,0.109018974101455,0.137618963423933,7.39484848040785e-002,6.90328683906736e-003,3.55270616733209e-002,4.73044749862616e-002,6.29936132406248e-002
S0040,4550 Atlantic Ave,Long Beach,CA,90807,Existing,37025722.69,0.434125640560184,7.53175662052148e-002,9.93277238851378e-002,0.128818531644439,0.122698523619283,8.09004465646527e-003,3.95434169444432e-002,1.89113094661921e-002,7.31672430186399e-002
S0041,12801 Excelsior Dr,Santa Fe Springs,CA,90670,Existing,25267518.33,0.462020344757775,8.26159780607153e-002,0.105856317785839,0.102735030646755,9.50757307712221e-002,6.83894942681535e-003,4.99109724005888e-002,2.79189748983948e-002,6.70277012518942e-002
S0042,13439 Camino Canada,El Cajon,CA,92021,Existing,40361802.94,0.467815579697194,7.97125981904909e-002,9.92723896887446e-002,0.116922943383262,9.52164011531642e-002,5.91722228947585e-003,4.67005030177178e-002,2.87198572799929e-002,5.97225052999577e-002
S0043,2048 E Avenida De Los Arboles,Thousand Oaks,CA,91360,Existing,27158493.58,0.447822878841721,8.16952602125879e-002,0.102788602459739,0.106441573848147,0.115498558517619,8.52612643326147e-003,3.76262367789252e-002,2.54114374189086e-002,7.41893254890907e-002
S0044,7789 Foothill Blvd,Tujunga,CA,91042,Existing,35532265.7,0.443887103714864,7.64269420061215e-002,0.100262503384353,0.126128886568582,0.10511899892722,5.66029117585936e-003,4.09873150869746e-002,3.70546804168471e-002,6.44732787191783e-002
S0045,6351 Haven Ave,Rancho Cucamonga,CA,91737,Existing,42304090.96,0.444903415553738,8.38306437869857e-002,0.102931496722557,9.18046002612888e-002,0.105098837939904,9.31633941437611e-003,3.87173422908128e-002,2.25267703045805e-002,0.100870553725757
S0046,1820 Ximeno Ave,Long Beach,CA,90815,Existing,42308785.73,0.422679612081602,7.84875796528798e-002,0.103366194622291,0.108112524646545,0.118238009521811,1.04941636196658e-002,3.80019093495265e-002,2.85945197699721e-002,9.20254867357074e-002
S0047,4200 Chino Hills Pkwy Ste 400,Chino Hills,CA,91709,Existing,45096641.3,0.446383981150277,8.08216528976849e-002,9.66609158540595e-002,0.106606535906256,0.101860553637284,8.44641727232135e-003,3.83132949637205e-002,2.07650313417022e-002,0.100141616976695
S0048,845 College Blvd,Oceanside,CA,92057,Existing,34784203.58,0.441344862034642,8.17377768463486e-002,9.86476347549023e-002,0.102411904927104,9.89170133531054e-002,9.52763570503459e-003,3.84805228304727e-002,2.65848122085997e-002,0.102347837339791
S0049,550 E 1st St,Tustin,CA,92780,Existing,22498605.89,0.445450279408401,9.00471495836313e-002,0.107740784555785,9.43182933367077e-002,0.11159860669927,1.02717244406116e-002,4.17980182682332e-002,3.10461067416831e-002,6.77290369656766e-002
S0050,7 Peninsula Ctr,Rolling Hills Estates,CA,90274,Existing,43939211.84,0.430251781685122,8.31692187221536e-002,0.104800187512876,9.75482579343417e-002,0.145262719851281,0.01489087611272,3.7216703521098e-002,2.09718604729529e-002,6.58883941874548e-002
S0051,26022 Marguerite Pkwy,Mission Viejo,CA,92692,Existing,32361272.14,0.45915595115415,8.4619240496891e-002,0.105193362772419,8.89227669280371e-002,0.121059700405214,8.38761000574189e-003,3.86572472981898e-002,3.17263130311539e-002,6.2277807908203e-002
S0052,635 Foothill Blvd,La Canada,CA,91011,Existing,46987873.31,0.423648730145093,7.27937486643403e-002,9.45074675055559e-002,0.109317027738449,0.141252938523342,1.5626181784306e-002,4.22976874668857e-002,2.45384770320008e-002,7.60177411400277e-002
S0053,750 N Imperial Ave,El Centro,CA,92243,Existing,30897555.99,0.471931519590718,7.48830791260264e-002,0.101319757491926,0.120258569681129,8.88553208185318e-002,6.51293487630962e-003,4.68527226059086e-002,2.78547982979154e-002,6.15312975115349e-002
S0054,2938 Tapo Canyon Rd,Simi Valley,CA,93063,Existing,38270311.41,0.44489058000064,8.23056195246151e-002,0.104248228274346,0.108817775622067,0.114629617277002,8.09137419036225e-003,4.37241756951776e-002,2.99659380273645e-002,6.33266913884252e-002
S0055,330 W El Norte Pkwy,Escondido,CA,92026,Existing,39002676,0.48940475468914,8.13549067761401e-002,9.57888507444976e-002,9.86352513350622e-002,0.112819490129344,5.78686267578152e-003,3.75774323792552e-002,1.63906663737637e-002,6.22417848970157e-002
S0056,32401 Camino Capistrano,San Juan Capistrano,CA,92675,Existing,21812315.49,0.476389545840005,8.63992523335725e-002,0.116872379787864,8.74318167126419e-002,0.117922298124618,8.10746892419902e-003,2.71587012516661e-002,2.24773986156937e-002,5.72411384097397e-002
S0057,500 E Manchester Blvd,Inglewood,CA,90301,Existing,33446355.83,0.438123584658401,7.53291363880105e-002,9.72176286267776e-002,0.147446426602225,0.107270417986222,5.86651266276383e-003,4.95360540449049e-002,1.77073661779553e-002,6.15028728527403e-002
S0058,1855 Cochran St,Simi Valley,CA,93065,Existing,28866475.12,0.46467844356606,7.98608513999959e-002,0.100374796990454,0.102635716958296,0.100386803652111,8.32341631602716e-003,4.77517696313729e-002,2.98228317250811e-002,6.61653697606014e-002
S0059,950 N 2nd St,El Cajon,CA,92021,Existing,28986872.68,0.429946589188248,7.24978148970846e-002,9.68411994970683e-002,0.117434050840147,0.120424609737514,7.38619279021858e-003,4.3466977756084e-002,2.86158137566981e-002,8.33867515369374e-002
